replicate,regime,buyer_provider,seller_provider,deal,failed,rounds_used,schema_violations,price,bundle_included,seller_cost,seller_floor,buyer_valuation,buyer_budget,bundle_value,bundle_cost,consumer_surplus,producer_surplus,welfare
0,price_only,gemini,gemini,True,False,4,0,700.0,False,598.2779570198254,665.106028874402,1089.2786423404398,1183.2988116649433,107.6552141139271,59.210367762659914,389.2786423404398,101.72204298017459,491.00068532061437
0,price_only,openrouter,openrouter,True,False,2,0,850.0,False,598.2779570198254,665.106028874402,1089.2786423404398,1183.2988116649433,107.6552141139271,59.210367762659914,239.27864234043977,251.7220429801746,491.00068532061437
0,price_only,gemini,openrouter,True,False,4,0,615.0,False,598.2779570198254,665.106028874402,1089.2786423404398,1183.2988116649433,107.6552141139271,59.210367762659914,474.2786423404398,16.722042980174592,491.00068532061437
0,multiattr,gemini,gemini,True,False,3,0,900.0,True,598.2779570198254,665.106028874402,1089.2786423404398,1183.2988116649433,107.6552141139271,59.210367762659914,296.93385645436683,242.51167521751466,539.4455316718816
0,multiattr,openrouter,openrouter,False,True,0,0,,False,598.2779570198254,665.106028874402,1089.2786423404398,1183.2988116649433,107.6552141139271,59.210367762659914,0.0,0.0,0.0
0,multiattr,gemini,openrouter,True,False,1,0,850.0,False,598.2779570198254,665.106028874402,1089.2786423404398,1183.2988116649433,107.6552141139271,59.210367762659914,239.27864234043977,251.7220429801746,491.00068532061437
1,price_only,gemini,gemini,True,False,4,0,725.0,False,615.8981859344245,712.6282138310042,1000.5642534821648,1062.7942361552098,157.6099650949025,86.68548080219638,275.56425348216476,109.10181406557547,384.6660675477402
1,price_only,openrouter,openrouter,True,False,2,0,990.0,False,615.8981859344245,712.6282138310042,1000.5642534821648,1062.7942361552098,157.6099650949025,86.68548080219638,10.564253482164759,374.10181406557547,384.6660675477402
1,price_only,gemini,openrouter,False,True,3,0,,False,615.8981859344245,712.6282138310042,1000.5642534821648,1062.7942361552098,157.6099650949025,86.68548080219638,0.0,0.0,0.0
1,multiattr,gemini,gemini,True,False,3,0,775.0,True,615.8981859344245,712.6282138310042,1000.5642534821648,1062.7942361552098,157.6099650949025,86.68548080219638,383.1742185770672,72.41633326337909,455.5905518404463
1,multiattr,openrouter,openrouter,False,True,2,0,,False,615.8981859344245,712.6282138310042,1000.5642534821648,1062.7942361552098,157.6099650949025,86.68548080219638,0.0,0.0,0.0
